City,PM2_5,NO2,CO,Temperature,Humidity
Bangalore,120.34836387069814,67.07314849167778,1.863,18.5,58.5
Chennai,63.341605827826456,52.61552133699631,1.38,14.2,76.2
Delhi,102.70450942688993,47.392532819571294,1.381,38.3,87.9
Bangalore,63.84071510454416,57.401950422576576,1.293,29.3,76.4
Kolkata,61.26122491677006,30.682359603190495,1.227,25.8,28.5
Chennai,62.22239024226689,65.28155961213649,1.203,27.4,84.0
Bangalore,56.76220299110744,40.53908145066647,1.722,25.6,65.6
Bangalore,38.20643926343767,50.95760931113883,1.195,23.3,67.9
Kolkata,80.43352373967923,34.920398545739474,1.977,34.2,90.9
Delhi,95.88762861925382,53.29190526476492,1.466,27.1,60.8
Chennai,110.17267853347053,48.67829755777877,1.332,20.1,73.4
Kolkata,92.38957218680306,44.6195107359096,1.888,19.9,57.5
Chennai,26.162362939430402,43.7376065563475,0.475,27.5,72.2
Chennai,88.64769765713092,42.69309469553957,1.327,26.4,47.8
Chennai,69.7001380662446,63.111228323931606,1.419,24.4,69.4
Bangalore,100.23714177362044,42.80310018643392,1.21,14.7,51.1
Chennai,116.26919837345979,38.099296194112696,1.921,32.2,90.0
Delhi,78.8852001108453,36.180710819036285,1.745,35.6,73.6
Delhi,77.06631215077014,41.317730095090845,1.192,25.9,49.7
Delhi,52.952335104588784,43.71887548563346,1.974,31.6,55.4
Bangalore,98.39416152777736,45.9793695646833,1.83,33.1,64.7
Delhi,75.01638326798617,74.99519713559019,1.717,30.2,55.8
Mumbai,91.48758702327623,50.86969730499607,1.928,23.5,70.1
Chennai,102.74577159638528,54.50487522048948,1.375,25.3,76.9
Bangalore,98.02075677262532,37.99962032538377,1.199,24.4,30.3
Mumbai,59.49251820011036,42.70726215363201,1.405,35.7,53.5
Bangalore,60.41743235947486,44.011446070492234,1.724,33.5,44.1
Mumbai,82.88482947644401,61.5285653524205,1.991,25.1,64.9
Kolkata,45.164249820245914,53.31142094080159,1.308,16.3,59.5
Bangalore,70.81543213525796,64.21912621422713,1.601,25.6,57.0
Chennai,59.5601847105341,48.9914734434067,1.084,31.5,81.2
Bangalore,82.79633401886906,54.03885995678211,2.333,38.7,71.5
Delhi,84.69046945156117,30.179766279231927,0.926,28.8,65.1
Delhi,107.79312994992516,63.412139393776535,1.634,26.3,52.3
Bangalore,69.65289081086082,46.259771343961106,0.883,8.5,83.5
Chennai,73.99922910355852,51.62494697741162,1.615,25.4,69.5
Mumbai,91.93454353333058,54.51446514465746,1.403,17.6,43.6
Mumbai,85.86400308593477,45.98580338186981,1.815,28.9,83.9
Bangalore,70.49779473160291,53.50924777475679,2.273,20.5,86.7
Mumbai,62.026039684340546,44.80039870490346,1.089,28.6,37.5
Chennai,68.8737932203862,65.52039937237706,1.236,17.5,20.7
Bangalore,67.12551437079375,45.262716929561385,0.421,29.2,76.4
Kolkata,83.48146462276598,61.230075666390576,1.163,29.6,78.6
Mumbai,102.32420131768366,32.92663244584105,1.345,33.1,73.5
Delhi,68.44464458201837,42.04499835747333,1.186,25.1,92.1
Delhi,68.80763740067991,40.56597417645584,1.541,30.6,51.4
Mumbai,84.80902219654295,59.97401036337682,1.852,22.7,49.6
Kolkata,87.80157578463924,36.29317499368666,2.076,29.8,80.9
Delhi,79.46396772066709,51.830440645489965,1.156,22.5,79.3
Delhi,93.69828230636209,62.1568346581945,1.466,32.7,87.1
Mumbai,73.58985652106473,38.47668449760455,1.166,28.4,50.1
Kolkata,59.36212058631127,53.838482356478195,1.809,16.8,97.0
Kolkata,61.560671066948196,48.691986091857935,1.128,24.1,74.4
Delhi,88.49592730800302,40.43978285683058,0.841,26.8,74.9
Bangalore,105.22337703473879,31.99568820491674,1.203,19.6,63.7
Chennai,80.7423068451112,54.9757263149081,1.264,21.8,47.6
Chennai,74.56843647129284,45.78871397101458,1.419,25.8,43.5
Delhi,60.59341344678559,56.395597147769124,1.865,24.8,55.1
Mumbai,112.33932948801639,64.77882913213793,1.802,25.3,58.2
Delhi,77.048385375469,57.14865753930856,2.092,26.2,59.0
Bangalore,103.2550342397925,74.82562047958962,1.997,24.0,72.1
Mumbai,82.41947211136838,55.97562439523557,1.715,34.3,79.5
Bangalore,36.014751838342896,55.12168953537173,2.053,31.2,67.0
Kolkata,109.01372240866252,60.516953131228846,0.928,24.8,71.2
Bangalore,75.84440382146823,61.30744266420078,1.812,24.5,79.0
Kolkata,57.47417054293047,49.06409564298223,1.549,25.9,80.2
Bangalore,69.01889775975525,40.43318744941642,1.689,23.4,58.1
Delhi,82.12276290362834,46.774523730080105,1.405,29.5,44.4
Kolkata,83.25859592749038,25.6356922857944,1.144,21.7,87.1
Mumbai,72.81205994539948,44.45145772979813,2.001,32.3,71.2
Chennai,67.32139404017155,52.354516147834424,1.696,32.5,58.9
Bangalore,46.624144500476426,42.309460806374204,1.036,33.5,65.5
Mumbai,85.53174384108381,67.55652000976824,1.423,32.6,68.1
Delhi,66.76118243308542,53.644644700448744,1.332,29.9,75.6
Kolkata,77.55135729963412,69.85432148332292,1.4,34.8,65.4
Delhi,93.2291740109026,53.10870250004541,1.827,24.6,63.5
Chennai,91.90225164033598,47.945492947345585,2.227,36.1,72.7
Chennai,121.4809840729962,41.50870857974658,1.014,26.2,97.3
Delhi,104.18746462432875,55.57927520399042,1.512,29.1,20.0
Bangalore,79.51319885422,56.69324045532776,2.457,29.8,63.2
Bangalore,400.0,300.0,10.0,28.9,52.4
Mumbai,450.0,350.0,12.0,27.6,78.7
Bangalore,500.0,400.0,15.0,28.5,29.5
Chennai,600.0,450.0,20.0,26.2,58.4
Kolkata,700.0,1.0,0.01,30.1,87.3
Mumbai,750.0,2.0,0.02,22.5,76.6
Chennai,1.0,3.0,0.03,26.6,74.1
Delhi,2.0,4.0,0.04,32.1,65.3
Bangalore,3.0,5.0,0.05,23.9,60.8
Chennai,4.0,6.0,0.06,23.7,88.7
Mumbai,5.0,7.0,0.07,15.7,68.7
Chennai,6.0,8.0,0.08,37.2,78.2
Mumbai,7.0,9.0,0.09,31.8,62.6
Chennai,8.0,10.0,0.1,32.8,68.3
Chennai,9.0,11.0,0.11,39.8,68.3
