Role,Salary,Department,Experience_Years
Manager,104470.35,Tech,16
Manager,106647.15,Ops,12
Manager,139900.35,Marketing,9
Manager,83681.06,Tech,2
Manager,129729.73,Finance,9
Manager,94038.62,Finance,11
Manager,91040.69,Tech,19
Manager,101881.77,Marketing,9
Manager,115364.39,Ops,16
Manager,133149.13,Marketing,17
Manager,89428.77,Finance,3
Manager,150133.36,Ops,28
Manager,140947.03,Marketing,15
Director,147017.09,Ops,0
Director,143469.47,Finance,17
Director,128545.52,Finance,16
Director,163230.91,Marketing,19
Director,151548.03,Finance,3
Director,181771.45,Ops,3
Director,134560.15,Ops,14
Director,162328.74,Finance,29
Director,149181.39,Ops,25
Director,130942.13,Marketing,0
Director,192801.84,Marketing,8
Director,156291.12,Tech,18
Director,163955.73,Marketing,8
Director,125957.23,Marketing,19
Director,133741.03,Tech,12
Director,151893.14,Finance,27
Director,136849.76,Ops,27
Director,163545.5,Finance,5
Director,159863.22,Tech,26
Director,132397.28,Marketing,16
Director,154341.06,Marketing,5
Director,150090.56,Ops,2
Director,146308.31,Marketing,13
Director,124151.72,Ops,29
Director,131201.06,Marketing,14
Director,154735.14,Ops,4
Director,172814.65,Ops,19
Director,128170.55,Finance,1
Director,177386.59,Tech,28
Director,154109.57,Ops,28
Director,121429.06,Finance,15
Director,157276.27,Ops,11
Director,169929.93,Marketing,11
Director,155948.88,Tech,29
Director,202180.36,Ops,27
Director,156945.02,Finance,5
Director,170082.69,Finance,3
Director,150248.01,Marketing,22
Director,172051.67,Finance,10
Director,96099.63,Marketing,4
Director,130705.74,Tech,17
Director,141803.74,Tech,25
Director,161338.36,Marketing,24
Director,154237.45,Tech,14
Director,174417.61,Marketing,12
Director,158031.13,Tech,9
Director,154664.92,Tech,0
Director,146736.05,Finance,4
Director,153687.85,Ops,26
Director,168664.03,Marketing,8
VP,222659.0,Finance,3
VP,226384.57,Marketing,27
VP,192801.31,Finance,12
VP,179148.3,Marketing,9
VP,185858.0,Finance,10
VP,210484.29,Marketing,29
VP,248343.72,Ops,19
VP,207180.18,Marketing,26
VP,214550.08,Ops,12
VP,150241.86,Ops,19
VP,280397.31,Marketing,7
VP,166894.34,Marketing,14
VP,254533.48,Ops,8
VP,183318.58,Ops,29
VP,228731.34,Ops,6
VP,224456.62,Tech,14
VP,201929.58,Ops,1
VP,195007.84,Marketing,5
VP,171778.71,Tech,24
VP,198392.16,Ops,29
VP,233034.09,Finance,3
VP,211163.68,Ops,24
VP,173496.17,Ops,8
VP,234741.55,Finance,25
VP,163890.4,Marketing,9
VP,206295.17,Marketing,27
VP,173264.39,Finance,8
VP,176519.37,Ops,2
VP,232391.92,Ops,27
VP,186114.77,Ops,10
VP,154547.73,Finance,1
VP,183838.44,Tech,12
VP,222698.66,Tech,7
VP,178118.02,Tech,14
VP,236443.48,Marketing,19
VP,230248.49,Finance,14
VP,202198.49,Finance,26
VP,235211.97,Finance,12
VP,255888.55,Tech,7
VP,140490.91,Ops,7
VP,234700.67,Ops,2
VP,218278.47,Tech,10
VP,190303.96,Finance,28
VP,219924.37,Finance,14
VP,211901.78,Ops,13
VP,182716.49,Ops,26
VP,244646.55,Marketing,7
VP,204207.41,Finance,4
VP,235649.5,Marketing,25
VP,192627.64,Marketing,17
C-Level,264131.7,Ops,0
C-Level,362851.9,Tech,23
C-Level,337658.18,Ops,19
C-Level,283806.54,Marketing,23
C-Level,261171.68,Ops,3
C-Level,382363.67,Marketing,7
C-Level,416658.79,Tech,18
C-Level,423360.24,Tech,4
C-Level,378046.81,Marketing,20
C-Level,350215.36,Marketing,3
C-Level,359944.54,Marketing,29
C-Level,352350.67,Tech,22
C-Level,391720.98,Finance,17
C-Level,324110.11,Finance,23
C-Level,283766.54,Finance,9
C-Level,338488.84,Marketing,17
C-Level,360356.79,Tech,21
C-Level,336597.78,Ops,25
C-Level,351354.9,Marketing,5
C-Level,465550.74,Ops,21
C-Level,396429.3,Tech,6
C-Level,277191.82,Ops,25
C-Level,384317.27,Ops,14
C-Level,235728.05,Finance,25
C-Level,382494.82,Marketing,1
C-Level,375054.8,Ops,7
C-Level,351370.07,Finance,9
C-Level,299090.45,Tech,1
C-Level,298354.27,Finance,6
C-Level,371657.97,Ops,0
C-Level,317749.0,Finance,2
C-Level,393946.79,Tech,26
C-Level,317260.0,Ops,27
C-Level,330932.72,Tech,2
C-Level,389872.24,Ops,22
C-Level,348218.83,Ops,8
C-Level,341263.96,Tech,21
C-Level,364152.55,Tech,7
C-Level,369703.54,Ops,28
C-Level,345594.45,Finance,17
C-Level,361871.63,Marketing,27
C-Level,343916.26,Marketing,7
C-Level,371609.13,Ops,1
C-Level,365110.05,Tech,17
C-Level,376474.25,Ops,1
C-Level,392224.04,Tech,29
C-Level,295893.07,Finance,18
C-Level,278720.88,Marketing,21
C-Level,336008.65,Tech,11
C-Level,341007.13,Tech,1
Junior,8000.0,Tech,8
Junior,9500.0,Marketing,18
Junior,7200.0,Ops,5
C-Level,750000.0,Marketing,11
C-Level,900000.0,Tech,8
C-Level,1200000.0,Finance,9
