SaleID,Product,Region,SalesAmount,Units,Discount
78,Monitor,South,4227.273454709824,33,0.28
79,Phone,West,5435.602736432382,92,0.33
80,Keyboard,West,6859.567601004875,76,0.31
81,Keyboard,East,6767.637831046066,75,0.0
82,Phone,East,7915.875243544564,31,0.39
83,Monitor,East,3081.3749767585364,41,0.33
84,Monitor,North,4051.72290910288,88,0.13
85,Keyboard,East,6501.281183879525,53,0.32
86,Keyboard,North,7505.826588772037,32,0.12
87,Phone,South,5322.385678590416,95,0.05
88,Monitor,North,6471.520123544962,28,0.09
89,Monitor,East,6035.162092117664,89,0.03
90,Tablet,North,6507.547661270802,26,0.19
91,Monitor,North,3936.150828525327,76,0.26
92,Laptop,East,4574.304802727047,54,0.21
93,Monitor,East,3768.454692176126,55,0.21
94,Keyboard,North,4732.518270134887,24,0.14
95,Monitor,South,5158.171052654101,73,0.21
96,Phone,West,5582.10841020571,41,0.15
97,Laptop,East,4379.332267252188,92,0.18
98,Laptop,South,5838.196706270791,88,0.14
99,Laptop,East,4359.184130892852,25,0.38
100,Tablet,South,6503.214703571943,15,0.34
101,Monitor,North,3788.566952546476,14,0.08
102,Keyboard,West,3292.2411895173345,8,0.22
103,Laptop,South,5038.4493329365205,22,0.38
104,Laptop,North,6260.353577939644,88,0.23
105,Monitor,South,4229.2023025826165,89,0.1
106,Laptop,South,6366.278926420557,29,0.26
107,Phone,North,6676.968363315931,15,0.11
108,Tablet,South,6846.519265503921,90,0.33
109,Laptop,North,4497.61330754401,61,0.32
110,Laptop,South,3618.391440492288,39,0.26
111,Keyboard,North,5376.652084228279,24,0.31
112,Monitor,East,3553.840425200005,76,0.06
113,Phone,South,4543.49734993218,88,0.09
114,Laptop,North,6557.016769061908,42,0.13
115,Phone,East,4860.136197801042,69,0.04
116,Tablet,West,5374.112359646082,13,0.33
117,Tablet,South,1874.7738710078409,30,0.25
118,Tablet,West,4819.032915464111,57,0.0
119,Tablet,West,3183.439526594924,94,0.13
120,Keyboard,East,7480.438794496568,93,0.26
121,Phone,South,3741.564967745554,18,0.27
122,Keyboard,South,3874.196138822569,16,0.28
123,Tablet,West,3588.968765102183,99,0.37
124,Laptop,East,4604.86327405358,88,0.05
125,Tablet,North,2747.192974011458,53,0.15
126,Monitor,South,5525.178950537773,51,0.08
127,Tablet,North,8314.274087776226,36,0.33
128,Tablet,West,7163.669619221373,76,0.02
129,Monitor,South,3391.664939498481,62,0.07
130,Tablet,South,3302.023620330119,91,0.19
131,Tablet,East,4043.981229676791,73,0.02
132,Tablet,East,4476.111519127991,55,0.2
133,Phone,West,5179.406488612801,60,0.39
134,Monitor,West,6360.79522855918,38,0.37
135,Monitor,North,5319.040879019158,61,0.08
136,Monitor,East,5060.309789727419,21,0.17
137,Tablet,North,5162.749004060735,97,0.17
138,Keyboard,South,5548.053279407644,6,0.06
139,Keyboard,East,6099.340530438404,49,0.35
140,Keyboard,East,3705.6023596088617,31,0.27
141,Phone,South,4312.878082763442,30,0.38
142,Phone,North,5533.409428923019,29,0.33
143,Tablet,North,4788.233132566083,24,0.19
144,Monitor,East,4924.281890767913,39,0.13
145,Phone,West,5691.524798603392,5,0.21
146,Phone,East,3339.3117280789725,62,0.27
147,Laptop,East,3806.9038728984738,5,0.15
148,Tablet,West,5885.178779543663,28,0.11
149,Keyboard,West,4259.539826270364,17,0.35
150,Laptop,East,3911.159259839318,4,0.25
151,Tablet,East,5854.799486236945,36,0.25
152,Laptop,South,4595.90755378775,25,0.23
153,Monitor,North,3873.5658597279535,51,0.34
154,Keyboard,North,6548.122178818636,58,0.28
155,Tablet,South,5631.857744763174,14,0.22
156,Laptop,South,3081.0996285014835,12,0.22
157,Phone,East,5190.283250163451,44,0.4
158,Laptop,East,5666.756076175829,47,0.19
159,Monitor,North,6055.40769950347,83,0.21
160,Monitor,West,4891.507336313233,71,0.29
161,Phone,West,3915.232043999719,49,0.4
162,Laptop,South,5510.994555353956,75,0.22
163,Monitor,East,5535.930970929824,70,0.3
164,Phone,North,6164.946657738802,28,0.07
165,Tablet,West,6702.773994580228,98,0.34
166,Tablet,North,2759.7912035867503,33,0.15
167,Laptop,North,4387.103291301841,14,0.26
168,Laptop,West,6014.4506476453735,20,0.19
169,Laptop,East,2499.231235837221,17,0.3
170,Keyboard,North,5751.451334106549,70,0.03
171,Laptop,West,6210.728859532862,36,0.08
172,Phone,West,4291.507363404586,24,0.22
173,Phone,North,3954.284545683302,75,0.31
174,Laptop,South,5184.936953779332,97,0.27
175,Tablet,East,4951.919878417892,37,0.2
176,Laptop,East,5669.460716794907,70,0.17
177,Tablet,South,4776.453724116765,6,0.06
178,Phone,North,4518.922749765168,28,0.34
179,Phone,West,4289.959392807371,88,0.05
180,Keyboard,South,4316.956133180664,36,0.38
181,Laptop,East,4412.013822582272,93,0.12
182,Laptop,West,2463.1227305665643,38,0.35
183,Tablet,West,4153.903397244027,62,0.21
184,Tablet,West,5715.124589107585,47,0.0
185,Monitor,South,6835.19332818497,36,0.25
186,Laptop,West,3720.495690915356,71,0.0
187,Tablet,North,5656.05981398384,98,0.08
188,Tablet,West,4876.891005057239,69,0.28
189,Phone,North,5321.578762838394,19,0.0
190,Keyboard,East,5393.320926981165,44,0.35
191,Keyboard,North,3127.266968705841,99,0.09
192,Monitor,East,7495.535015445033,18,0.29
193,Tablet,North,3980.641929714546,70,0.14
194,Phone,West,6029.140461796559,8,0.35
195,Phone,South,2526.2361423232583,80,0.22
196,Keyboard,West,6082.342067114288,25,0.12
197,Tablet,South,3747.438661689776,94,0.35
198,Keyboard,West,2710.558077575856,35,0.13
199,Laptop,East,5926.263574264348,88,0.05
200,Laptop,North,4404.779703308956,93,0.34
201,Keyboard,South,6035.051241812136,82,0.32
202,Monitor,West,6865.12891663073,34,0.27
203,Tablet,West,4113.449387818654,29,0.32
204,Monitor,East,2950.789818618518,13,0.27
205,Phone,South,5263.40090906435,90,0.36
206,Monitor,West,4726.649033474588,75,0.05
207,Phone,East,3503.9823596538818,17,0.28
208,Laptop,East,4016.503236186696,34,0.28
209,Laptop,North,6396.51637982585,82,0.27
210,Keyboard,East,4850.183268680457,25,0.09
211,Tablet,North,5400.235925187624,1,0.18
212,Tablet,West,4630.251336723485,93,0.27
213,Phone,South,3660.355700157463,78,0.29
214,Laptop,South,5574.336255475489,74,0.23
215,Laptop,South,5062.579896860344,91,0.06
216,Monitor,East,6554.256203402332,48,0.39
217,Keyboard,West,4506.9780748373705,76,0.1
218,Phone,South,5479.235740939118,23,0.32
219,Monitor,North,2915.589100223643,78,0.32
220,Phone,West,3315.049600330009,56,0.18
221,Keyboard,North,3333.085288272287,34,0.3
222,Tablet,South,4671.47331885615,70,0.11
223,Phone,South,6606.718101855204,46,0.27
224,Tablet,North,5570.716210967881,32,0.32
225,Phone,West,4097.184602083887,47,0.26
226,Keyboard,North,4572.741263614849,9,0.36
227,Laptop,West,6443.712324709379,1,0.08
228,Laptop,North,4443.5568218983735,92,0.38
229,Tablet,South,4828.323946682725,9,0.28
230,Keyboard,North,4227.844429985519,4,0.37
